
Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xc00000164530	TCPv4	192.168.5.184	53241	23.199.47.89	443	CLOSED	-	-	2025-09-10 06:18:28.000000 UTC
0xc30aac423390	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	812	svchost.exe	2025-09-09 03:37:03.000000 UTC
0xc30aac423650	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	812	svchost.exe	2025-09-09 03:37:03.000000 UTC
0xc30aac423650	TCPv6	::	135	::	0	LISTENING	812	svchost.exe	2025-09-09 03:37:03.000000 UTC
0xc30aac4237b0	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	596	lsass.exe	2025-09-09 03:37:03.000000 UTC
0xc30aac423d30	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	596	lsass.exe	2025-09-09 03:37:03.000000 UTC
0xc30aac423d30	TCPv6	::	49664	::	0	LISTENING	596	lsass.exe	2025-09-09 03:37:03.000000 UTC
0xc30aac5fc9f0	TCPv6	::1	42050	::	0	LISTENING	5176	OneDrive.Sync.	2025-09-09 23:06:56.000000 UTC
0xc30aacb4d050	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	1096	svchost.exe	2025-09-09 03:37:04.000000 UTC
0xc30aacb4d1b0	TCPv4	0.0.0.0	445	0.0.0.0	0	LISTENING	4	System	2025-09-09 03:37:06.000000 UTC
0xc30aacb4d1b0	TCPv6	::	445	::	0	LISTENING	4	System	2025-09-09 03:37:06.000000 UTC
0xc30aacb4d470	TCPv4	0.0.0.0	5040	0.0.0.0	0	LISTENING	3420	svchost.exe	2025-09-09 03:38:24.000000 UTC
0xc30aacb4d5d0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	484	wininit.exe	2025-09-09 03:37:03.000000 UTC
0xc30aacb4d890	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1964	spoolsv.exe	2025-09-09 03:37:05.000000 UTC
0xc30aacb4e390	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	1964	spoolsv.exe	2025-09-09 03:37:05.000000 UTC
0xc30aacb4e390	TCPv6	::	49668	::	0	LISTENING	1964	spoolsv.exe	2025-09-09 03:37:05.000000 UTC
0xc30aacb4e4f0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	484	wininit.exe	2025-09-09 03:37:03.000000 UTC
